"run","verifierSetUpCPU","verifierSetUpMemory","verifierSetUpTime","proverCPU","proverMemory","proverTime","verifierVerifyCPU","verifierVerifyMemory","verifierVerifyTime"
214, 462.67, 498.13, 740.19, 834.41, 443.67, 346.96, 11.47, 443.67, 0.01
215, 485.99, 498.15, 709.74, 860.41, 443.98, 335.79, 14.73, 443.98, 0.01
216, 496.79, 498.21, 711.64, 829.84, 443.49, 349.68, 11.37, 443.49, 0.02
217, 489.20, 498.06, 707.10, 866.17, 443.71, 330.86, 9.02, 443.71, 0.01
218, 485.30, 498.23, 726.53, 840.58, 443.70, 341.21, 11.59, 443.70, 0.01
219, 482.43, 498.21, 733.59, 861.31, 443.62, 331.32, 8.97, 443.62, 0.02
220, 491.68, 497.86, 725.67, 853.92, 443.57, 341.77, 14.57, 443.57, 0.01
221, 492.94, 498.05, 715.59, 851.76, 443.60, 335.20, 8.87, 443.60, 0.02
222, 493.25, 498.27, 722.29, 844.78, 443.91, 331.91, 11.94, 443.91, 0.01
223, 493.68, 497.98, 719.29, 851.95, 443.63, 332.40, 8.91, 443.63, 0.02
224, 476.96, 497.80, 747.17, 846.04, 443.64, 344.58, 11.51, 443.64, 0.01
225, 498.52, 498.08, 708.58, 834.04, 443.81, 350.82, 8.51, 443.81, 0.02
226, 486.37, 498.22, 728.97, 877.61, 443.45, 332.88, 8.96, 443.45, 0.01
227, 492.52, 498.09, 719.68, 850.00, 443.74, 337.24, 11.76, 443.74, 0.02
228, 479.19, 498.05, 728.83, 847.57, 443.96, 344.35, 11.53, 443.96, 0.01
229, 490.19, 498.25, 716.09, 848.26, 443.57, 340.08, 11.70, 443.57, 0.02
230, 480.00, 498.12, 714.63, 883.81, 443.53, 326.12, 12.19, 443.53, 0.01
231, 473.13, 498.12, 732.58, 868.57, 443.54, 324.52, 9.14, 443.54, 0.02
232, 482.58, 498.16, 724.21, 870.28, 443.79, 332.07, 11.96, 443.79, 0.01
233, 476.17, 498.31, 748.33, 837.55, 443.68, 343.80, 14.44, 443.68, 0.01
234, 482.89, 498.19, 717.64, 856.93, 443.60, 332.73, 8.99, 443.60, 0.02
235, 496.32, 498.15, 720.29, 828.62, 443.67, 363.02, 8.18, 443.67, 0.01
236, 495.27, 498.20, 717.90, 845.01, 443.56, 340.25, 11.62, 443.56, 0.02
237, 494.32, 498.10, 714.07, 860.63, 443.88, 336.01, 5.91, 443.88, 0.02
238, 480.82, 498.06, 718.17, 840.14, 443.97, 347.15, 11.47, 443.97, 0.01
239, 473.57, 498.16, 719.97, 874.38, 443.80, 328.86, 12.14, 443.80, 0.01
240, 476.19, 498.27, 726.46, 825.81, 453.04, 346.49, 8.60, 453.04, 0.02
241, 475.79, 507.51, 725.34, 880.46, 453.04, 326.99, 12.14, 453.04, 0.02
242, 485.47, 507.63, 721.99, 817.14, 453.14, 346.97, 11.43, 453.14, 0.01
243, 469.26, 507.44, 745.13, 859.43, 452.96, 325.91, 9.14, 452.96, 0.01
244, 490.83, 507.61, 720.64, 871.38, 453.05, 333.02, 14.87, 453.05, 0.01
245, 474.73, 507.69, 730.64, 854.48, 452.90, 345.78, 8.60, 452.90, 0.01
246, 459.09, 507.56, 722.63, 850.18, 453.33, 336.70, 8.86, 453.33, 0.01
247, 496.55, 507.79, 714.78, 856.30, 453.07, 334.00, 14.81, 453.07, 0.02
248, 487.67, 507.57, 718.85, 857.67, 453.16, 336.41, 5.91, 453.16, 0.02
249, 477.26, 507.64, 719.13, 865.43, 453.04, 335.33, 11.90, 453.04, 0.01
250, 473.01, 507.68, 721.02, 833.92, 453.13, 351.73, 11.31, 453.13, 0.01
251, 488.58, 507.42, 713.10, 832.80, 452.90, 349.75, 8.56, 452.90, 0.02
252, 486.25, 507.48, 726.32, 840.73, 453.22, 340.71, 11.64, 453.22, 0.02
253, 463.48, 507.58, 734.21, 839.78, 453.35, 338.07, 11.79, 453.35, 0.01
254, 464.82, 507.55, 735.48, 840.07, 453.06, 332.52, 11.87, 453.06, 0.01
255, 479.19, 507.74, 736.34, 815.80, 453.31, 343.54, 8.62, 453.31, 0.02
256, 497.32, 507.74, 712.13, 842.55, 453.15, 349.24, 8.51, 453.15, 0.02
257, 481.24, 507.75, 713.32, 821.02, 453.17, 352.74, 5.60, 453.17, 0.01
258, 465.26, 508.05, 729.28, 863.64, 453.38, 327.78, 9.09, 453.38, 0.01
259, 499.13, 507.59, 710.70, 849.28, 453.14, 343.01, 14.49, 453.14, 0.01
260, 489.15, 507.53, 722.95, 864.06, 453.32, 333.52, 11.92, 453.32, 0.01
261, 466.23, 507.60, 747.02, 825.09, 453.45, 356.99, 8.36, 453.45, 0.01
262, 456.95, 507.54, 722.18, 846.56, 453.36, 352.88, 8.47, 453.36, 0.02
263, 478.67, 507.95, 742.18, 862.69, 453.52, 330.67, 11.94, 453.52, 0.02
264, 480.83, 507.72, 714.09, 850.94, 453.28, 332.27, 8.99, 453.28, 0.01
265, 486.23, 507.55, 713.25, 830.27, 453.29, 342.58, 14.41, 453.29, 0.02
266, 494.42, 507.61, 719.94, 850.00, 453.40, 336.36, 8.82, 453.40, 0.01
267, 485.76, 507.82, 720.27, 851.95, 453.48, 333.38, 8.91, 453.48, 0.01
268, 467.52, 508.12, 720.35, 862.45, 453.31, 333.33, 14.87, 453.31, 0.02
269, 503.14, 507.79, 706.98, 839.34, 453.30, 340.56, 8.74, 453.30, 0.01
270, 473.47, 507.94, 727.12, 860.65, 453.33, 343.76, 11.55, 453.33, 0.02
271, 480.27, 507.80, 719.41, 869.50, 453.23, 334.83, 11.83, 453.23, 0.01
272, 494.52, 507.51, 719.99, 860.63, 453.12, 335.89, 8.87, 453.12, 0.01
273, 471.86, 508.05, 728.70, 869.76, 453.22, 333.28, 11.87, 453.22, 0.01
274, 485.44, 507.55, 707.76, 811.19, 453.32, 355.66, 11.19, 453.32, 0.01
275, 476.60, 507.46, 725.60, 848.62, 453.42, 336.38, 14.73, 453.42, 0.01
276, 470.83, 507.81, 731.79, 839.20, 453.46, 340.89, 11.62, 453.46, 0.01
277, 484.81, 507.78, 718.70, 849.16, 453.57, 332.86, 14.90, 453.57, 0.01
278, 479.59, 507.80, 723.35, 869.43, 452.98, 328.48, 12.08, 452.98, 0.02
279, 504.17, 507.77, 708.65, 850.37, 453.48, 335.25, 11.85, 453.48, 0.02
280, 494.20, 507.86, 723.17, 841.35, 453.61, 347.40, 8.56, 453.61, 0.01
281, 474.79, 507.80, 718.53, 840.43, 453.36, 342.27, 8.66, 453.36, 0.02
282, 461.64, 507.86, 721.37, 829.41, 453.41, 339.28, 11.76, 453.41, 0.01
283, 497.32, 507.68, 712.66, 830.60, 453.25, 340.82, 11.66, 453.25, 0.01
284, 483.63, 507.73, 736.65, 837.96, 453.18, 352.25, 8.44, 453.18, 0.01
285, 487.55, 507.78, 718.50, 880.00, 453.31, 333.91, 8.89, 453.31, 0.02
286, 491.78, 508.04, 719.83, 863.35, 453.26, 335.39, 11.79, 453.26, 0.01
287, 480.55, 507.61, 723.89, 837.01, 453.28, 350.72, 8.54, 453.28, 0.01
288, 493.26, 507.82, 715.33, 821.09, 453.48, 350.26, 11.25, 453.48, 0.02
289, 489.82, 507.65, 730.77, 864.94, 453.28, 335.24, 8.86, 453.28, 0.01
